Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,aod,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
2021-01-01 03:00:00,526.0,61.46432890976672,472.9616529398028,274.59,29.58,0.113,0.091,0.1718,0.0305,0.1493,0.1018,41.92,95.78,1.48,0.493609,0.054,0.041,0.0,0.084,0.076,0.0,0.403,0.151,0.038,0.368,0.163,0.035,0.244,0.152,0.02,0.151,0.075,0.012,0.06590887866892922,0.061756544,0.10607499460582002,0.098377984,0.39272279283932215,0.37921714800000006,0.36548227113894993,0.350620222,0.2596569703079673,0.245203528,0.15568872280827667,0.148657336,39.11702084417169
2021-01-01 04:00:00,563.3,58.31240526099446,530.3169386887557,276.72999999999996,24.72,0.1243,0.107,0.2073,0.0313,0.1773,0.1245,41.92,97.56,1.48,0.493609,0.054,0.041,0.0,0.084,0.076,0.0,0.403,0.151,0.038,0.368,0.163,0.035,0.244,0.152,0.02,0.151,0.075,0.012,0.06396918300374087,0.061756544,0.102479461177666,0.098377984,0.38601909546320207,0.37921714800000006,0.3581761163928725,0.350620222,0.25269751388840533,0.245203528,0.15227946529254072,0.148657336,23.571453394490675
2021-01-01 05:00:00,536.4,58.5443920678682,526.1513269619161,278.07,22.63,0.1243,0.113,0.2163,0.0328,0.1843,0.1328,41.92,100.3,1.48,0.493609,0.054,0.041,0.0,0.084,0.076,0.0,0.403,0.151,0.038,0.368,0.163,0.035,0.244,0.152,0.02,0.151,0.075,0.012,0.06410444949924163,0.061756544,0.10273019907176498,0.098377984,0.3864851659645952,0.37921714800000006,0.3586843117804908,0.350620222,0.253182091727136,0.245203528,0.15251676523414226,0.148657336,7.3625352579906576
2021-01-01 06:00:00,438.4,62.12193692518507,460.80114278534506,279.41999999999996,20.55,0.1173,0.0978,0.1855,0.0303,0.164,0.1125,41.92,103.84,1.48,0.493609,0.054,0.041,0.0,0.084,0.076,0.0,0.403,0.151,0.038,0.368,0.163,0.035,0.244,0.152,0.02,0.151,0.075,0.012,0.06634190296826001,0.061756544,0.10687767379482344,0.098377984,0.39422480590159886,0.37921714800000006,0.3671183480532366,0.350620222,0.26121349513468267,0.245203528,0.15645154029822883,0.148657336,7.9918054174010535
2021-01-05 04:00:00,466.4,57.967381019162815,533.9786342052348,272.32,38.26,0.144,0.1263,0.186,0.0278,0.1733,0.1233,41.92,97.1,1.48,0.493609,0.057,0.033,0.0,0.092,0.057,0.0,0.378,0.199,0.031,0.36,0.172,0.029,0.249,0.13,0.013,0.163,0.038,0.01,0.06486379044635038,0.063243072,0.10558291077096882,0.10278348799999999,0.38165473757215584,0.372941334,0.3600443595802594,0.35258860999999997,0.26162495799857133,0.25568483399999997,0.15793711198081617,0.156412772,24.11800731138868
2021-01-06 03:00:00,487.8,61.1664651848846,475.3559740855164,272.52,39.63,0.1208,0.1003,0.1665,0.0305,0.1488,0.1033,41.92,95.22,1.48,0.493609,0.059,0.037,0.0,0.094,0.065,0.0,0.375,0.199,0.03,0.363,0.173,0.031,0.258,0.128,0.017,0.168,0.039,0.013,0.06957298761551564,0.065999808,0.11257416743266263,0.10629696,0.38915909672201465,0.371318956,0.368305882040145,0.35302255,0.2703765109715656,0.258795978,0.16063838024513818,0.15746909,39.87984042420368
2021-01-06 04:00:00,485.9,57.862672197922215,535.2060964234685,274.64,27.67,0.135,0.1203,0.193,0.0298,0.1763,0.1253,41.92,96.96,1.48,0.493609,0.059,0.037,0.0,0.094,0.065,0.0,0.375,0.199,0.03,0.363,0.173,0.031,0.258,0.128,0.017,0.168,0.039,0.013,0.06776292942599552,0.065999808,0.10939433547810024,0.10629696,0.37978726687668163,0.371318956,0.3602180965761299,0.35302255,0.2643205852370385,0.258795978,0.15888793186580918,0.15746909,24.253915463195483
2021-01-06 05:00:00,466.9,57.96278778850368,533.4192507662689,274.57,25.6,0.1328,0.1275,0.1953,0.0305,0.181,0.1325,41.92,99.68,1.48,0.493609,0.059,0.037,0.0,0.094,0.065,0.0,0.375,0.199,0.03,0.363,0.173,0.031,0.258,0.128,0.017,0.168,0.039,0.013,0.06781460180323517,0.065999808,0.1094851112759537,0.10629696,0.3800542785008104,0.371318956,0.36044843448203806,0.35302255,0.26449316594692635,0.258795978,0.1589376731564915,0.15746909,7.889620859354324
2021-01-07 03:00:00,539.8,61.08516641107511,476.21780191802793,263.48999999999995,20.46,0.1175,0.095,0.1725,0.035,0.15,0.106,41.92,95.08,1.48,0.493609,0.06,0.035,0.0,0.095,0.063,0.0,0.373,0.203,0.03,0.362,0.177,0.03,0.258,0.129,0.017,0.169,0.038,0.013,0.0699568385004438,0.06662144,0.11292230930079886,0.106918592,0.3880522564833786,0.370075692,0.3696557478830489,0.354156908,0.27050286470409163,0.258985162,0.16130807217883047,0.15827990600000003,40.03732234041075
2021-01-07 04:00:00,576.5,57.75065110265532,536.5561228541604,264.97999999999996,17.18,0.1305,0.117,0.2095,0.0343,0.1808,0.1295,41.92,96.82,1.48,0.493609,0.06,0.035,0.0,0.095,0.063,0.0,0.373,0.203,0.03,0.362,0.177,0.03,0.258,0.129,0.017,0.169,0.038,0.013,0.0682347837870782,0.06662144,0.10982261081674075,0.106918592,0.3784308525031038,0.370075692,0.36131358454698853,0.354156908,0.2643635539486977,0.258985162,0.1595972352305543,0.15827990600000003,24.389376720337225
