Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,aod,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
2021-01-01 04:00:00,573.0,59.827447612343256,643.3976889586061,271.19,19.88,0.1078,0.1048,0.131,0.0383,0.1998,0.157,37.56,96.98,74.56,0.069801,0.055,0.106,0.0,0.103,0.19,0.001,0.138,0.253,0.0,0.167,0.268,0.013,0.155,0.317,0.0,0.127,0.253,0.006,0.08311294748484503,0.075053504,0.15197252198505312,0.137567338,0.20509977088363956,0.18586355200000002,0.2196360842808911,0.19979222600000002,0.23907362596882903,0.214971328,0.1855881090890212,0.16659782,5.955600011520659
2021-01-01 05:00:00,671.6,54.47777159084302,759.1726623604947,273.67999999999995,15.91,0.1153,0.1285,0.1655,0.0418,0.2315,0.1883,37.56,91.48,74.56,0.069801,0.055,0.106,0.0,0.103,0.19,0.001,0.138,0.253,0.0,0.167,0.268,0.013,0.155,0.317,0.0,0.127,0.253,0.006,0.07542078029407925,0.075053504,0.13820398507315626,0.137567338,0.1867401642868118,0.18586355200000002,0.20043899267213977,0.19979222600000002,0.2160696920115389,0.214971328,0.167344362129048,0.16659782,9.210443843982574
2021-01-01 06:00:00,718.2,52.64877847870732,797.159327271827,276.16999999999996,11.94,0.1165,0.1268,0.1638,0.043,0.2293,0.1845,37.56,87.22,74.56,0.069801,0.055,0.106,0.0,0.103,0.19,0.001,0.138,0.253,0.0,0.167,0.268,0.013,0.155,0.317,0.0,0.127,0.253,0.006,0.07314080065552381,0.075053504,0.13412365339887947,0.137567338,0.18129832609290114,0.18586355200000002,0.1947580315112501,0.19979222600000002,0.2092512623377457,0.214971328,0.1619410696248843,0.16659782,26.2357455577106
2021-01-01 07:00:00,702.1,54.69721559612634,754.5574317458247,278.65999999999997,7.97,0.112,0.1155,0.1478,0.0413,0.1965,0.1618,37.56,84.46000000000001,74.56,0.069801,0.055,0.106,0.0,0.103,0.19,0.001,0.138,0.253,0.0,0.167,0.268,0.013,0.155,0.317,0.0,0.127,0.253,0.006,0.07570591310483045,0.075053504,0.1387142948042566,0.137567338,0.18742071712756703,0.18586355200000002,0.20114978852291468,0.19979222600000002,0.2169224005116156,0.214971328,0.16802025067474144,0.16659782,43.19898681046803
2021-01-01 08:00:00,613.9,60.226422300150084,634.5076099979101,280.35999999999996,7.39,0.0893,0.0823,0.091,0.0375,0.1353,0.1238,37.56,83.4,74.56,0.069801,0.055,0.106,0.0,0.103,0.19,0.001,0.138,0.253,0.0,0.167,0.268,0.013,0.155,0.317,0.0,0.127,0.253,0.006,0.08375075553912763,0.075053504,0.1531142955647248,0.137567338,0.20662208633395557,0.18586355200000002,0.2212295810474693,0.19979222600000002,0.24098103307456092,0.214971328,0.1871016209052714,0.16659782,58.22271353603358
2021-01-02 04:00:00,566.6,59.80494819229455,643.909977923723,274.13,24.02,0.104,0.106,0.13,0.0425,0.2028,0.157,37.56,96.96,74.56,0.069801,0.055,0.107,0.0,0.104,0.19,0.002,0.139,0.252,0.0,0.167,0.267,0.013,0.155,0.317,0.0,0.128,0.252,0.006,0.08334213317607338,0.075242688,0.15149009705654898,0.13718971600000002,0.20574969682589245,0.186674368,0.2192820335363627,0.19960304200000004,0.23896688053098375,0.214971328,0.1862385308893542,0.167408636,6.113807037488954
2021-01-02 05:00:00,666.2,54.42220972516542,760.3533817158492,277.37,18.49,0.114,0.1265,0.1645,0.0468,0.2335,0.1878,37.56,91.44,74.56,0.069801,0.055,0.107,0.0,0.104,0.19,0.002,0.139,0.252,0.0,0.167,0.267,0.013,0.155,0.317,0.0,0.128,0.252,0.006,0.07554095627274202,0.075242688,0.1376763877521944,0.13718971600000002,0.18737683159561672,0.186674368,0.20006805616483125,0.19960304200000004,0.21585498260242258,0.214971328,0.16798220910020978,0.167408636,9.054167313471197
2021-01-02 06:00:00,714.4,52.55991341995109,798.9975256621376,280.59999999999997,12.97,0.1138,0.1235,0.162,0.046,0.226,0.185,37.56,87.16,74.56,0.069801,0.055,0.107,0.0,0.104,0.19,0.002,0.139,0.252,0.0,0.167,0.267,0.013,0.155,0.317,0.0,0.128,0.252,0.006,0.07320448592453417,0.075242688,0.13354058962441742,0.13718971600000002,0.18187411638301507,0.186674368,0.19432278232554429,0.19960304200000004,0.2089329162437134,0.214971328,0.1625187172470666,0.167408636,26.10134074592986
2021-01-02 07:00:00,704.0,54.58207926144768,756.9944602760734,283.83,7.45,0.1045,0.1115,0.1423,0.0418,0.1948,0.1618,37.56,84.38,74.56,0.069801,0.055,0.107,0.0,0.104,0.19,0.002,0.139,0.252,0.0,0.167,0.267,0.013,0.155,0.317,0.0,0.128,0.252,0.006,0.07574992276276449,0.075242688,0.1380463178430903,0.13718971600000002,0.1878689769739874,0.186674368,0.20058213855619889,0.19960304200000004,0.21647407024108734,0.214971328,0.16847095877638205,0.167408636,43.10331476522302
2021-01-02 08:00:00,604.0,60.09556746927924,637.4388093226016,284.5,6.88,0.0825,0.0878,0.0978,0.0373,0.1565,0.1278,37.56,83.32000000000001,74.56,0.069801,0.055,0.107,0.0,0.104,0.19,0.002,0.139,0.252,0.0,0.167,0.267,0.013,0.155,0.317,0.0,0.128,0.252,0.006,0.0838098039775908,0.075242688,0.15231840391360896,0.13718971600000002,0.2068511271247933,0.186674368,0.22043513711782367,0.19960304200000004,0.24035240991491855,0.214971328,0.18733355132144486,0.167408636,58.167832429573565
