index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
51,2021-01-10 04:00:00,461.3,64.87375425851853,441.03768477700856,264.52,43.37,0.2133,0.2433,0.2793,0.0283,0.0943,0.0683,52.1,113.16,6.88,0.537,0.011,0.008,0.6,0.001,0.0,0.613,0.031,0.0,0.313,0.086,0.0,0.101,0.096,0.0,0.079,0.038,0.006,0.5408909706865381,0.5280600480000001,0.6003479064260488,0.600189184,0.6237850992075167,0.618864704,0.3429199526402077,0.329269824,0.13439901690069694,0.119161664,0.09225644418985919,0.07792326000000001,24.05781763247353
57,2021-01-11 04:00:00,462.4,64.72147417989929,443.9591599053533,266.07,39.68,0.2103,0.2458,0.2785,0.0285,0.0935,0.0703,52.1,112.98,6.88,0.537,0.011,0.008,0.6,0.001,0.0,0.613,0.031,0.0,0.313,0.086,0.0,0.101,0.096,0.0,0.079,0.038,0.006,0.5408611602707404,0.5280600480000001,0.6003451963882491,0.600189184,0.6237010880357229,0.618864704,0.3426868893894247,0.329269824,0.13413885327191594,0.119161664,0.09215346275346672,0.07792326000000001,24.163381921813084
64,2021-01-13 04:00:00,461.3,64.39609206621374,450.1801849540732,265.57,55.08,0.212,0.2368,0.2733,0.03,0.0968,0.072,52.1,112.6,6.88,0.536,0.011,0.008,0.6,0.001,0.0,0.614,0.031,0.0,0.313,0.086,0.0,0.101,0.096,0.0,0.079,0.038,0.006,0.5397979687186487,0.5270600480000001,0.6003394517016953,0.600189184,0.6245230027525555,0.619864704,0.342192846345799,0.329269824,0.1335873633627524,0.119161664,0.09193516466442282,0.07792326000000001,24.368828365634272
70,2021-01-15 04:00:00,503.9,64.04341071836502,456.8921891225744,258.44,61.23,0.2573,0.2665,0.293,0.0313,0.0883,0.0665,52.1,112.22,6.88,0.582,0.0,0.05,0.693,0.0,0.075,0.728,0.0,0.08,0.459,0.0,0.063,0.116,0.111,0.0,0.083,0.0,0.006,0.5844999999999999,0.5131188999999999,0.6986249999999999,0.58967835,0.7343999999999999,0.6177902399999999,0.462969,0.372209814,0.1529957905069146,0.136999424,0.083036,0.074734268,24.566029027841296
75,2021-01-16 04:00:00,486.7,63.85701311525658,460.42715714736954,260.15999999999997,37.24,0.2345,0.262,0.2925,0.0315,0.097,0.0718,52.1,112.0,6.88,0.582,0.0,0.051,0.69,0.0,0.073,0.726,0.0,0.079,0.463,0.0,0.067,0.135,0.027,0.005,0.083,0.001,0.006,0.5846009999999999,0.5117412779999999,0.695329,0.589433594,0.732241,0.617167862,0.46748900000000004,0.370699326,0.14393692075858966,0.133219858,0.08336607113920702,0.074923452,24.66129905225739
76,2021-01-16 05:00:00,471.4,64.98863041190182,438.5345074611827,260.87,36.56,0.2345,0.255,0.2863,0.0328,0.0998,0.075,52.1,116.6,6.88,0.582,0.0,0.051,0.69,0.0,0.073,0.726,0.0,0.079,0.463,0.0,0.067,0.135,0.027,0.005,0.083,0.001,0.006,0.5846009999999999,0.5117412779999999,0.695329,0.589433594,0.732241,0.617167862,0.46748900000000004,0.370699326,0.14447391758492098,0.133219858,0.08338595991055263,0.074923452,9.176139369323266
80,2021-01-17 04:00:00,484.1,63.66401187303791,464.0785406258923,263.67999999999995,35.01,0.2335,0.259,0.2875,0.0303,0.0935,0.0738,52.1,111.8,6.88,0.535,0.0,0.027,0.648,0.0,0.052,0.69,0.0,0.061,0.433,0.0,0.052,0.137,0.029,0.006,0.088,0.006,0.009,0.535729,0.497804206,0.6507040000000001,0.5763636560000001,0.6937209999999999,0.605965058,0.435704,0.361363656,0.14651186586745937,0.13422060400000002,0.0900415239725778,0.076736506,24.754232075404275
81,2021-01-17 05:00:00,471.9,64.78218984580892,442.4794842704203,264.44,33.72,0.2233,0.2533,0.284,0.0305,0.0998,0.0765,52.1,116.4,6.88,0.535,0.0,0.027,0.648,0.0,0.052,0.69,0.0,0.061,0.433,0.0,0.052,0.137,0.029,0.006,0.088,0.006,0.009,0.535729,0.497804206,0.6507040000000001,0.5763636560000001,0.6937209999999999,0.605965058,0.435704,0.361363656,0.14707798259303267,0.13422060400000002,0.09015865157097226,0.076736506,9.22127009155804
85,2021-01-18 04:00:00,498.2,63.46448645441906,467.84406334473266,256.28999999999996,39.44,0.2275,0.2663,0.2908,0.0383,0.1008,0.0793,52.1,111.58,6.88,0.534,0.0,0.027,0.648,0.0,0.053,0.691,0.0,0.062,0.433,0.0,0.052,0.138,0.029,0.006,0.088,0.007,0.009,0.534729,0.496804206,0.650809,0.574986034,0.6948439999999999,0.605587436,0.435704,0.361363656,0.14741307711524146,0.13522060400000002,0.09034443240712724,0.07692569,24.844747652861884
86,2021-01-18 05:00:00,484.7,64.5698434305296,446.5274416824308,256.65999999999997,37.34,0.2243,0.2627,0.2895,0.0383,0.1043,0.0828,52.1,116.18,6.88,0.534,0.0,0.027,0.648,0.0,0.053,0.691,0.0,0.062,0.433,0.0,0.052,0.138,0.029,0.006,0.088,0.007,0.009,0.534729,0.496804206,0.650809,0.574986034,0.6948439999999999,0.605587436,0.435704,0.361363656,0.14796883471156624,0.13522060400000002,0.09047858079244701,0.07692569,9.262376480837077
