Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
2021-01-15 04:00:00,587.0,64.93276080420785,445.11870459895135,251.54999999999998,60.44,0.3245,0.3325,0.341,0.041,0.1055,0.0875,51.7,113.14,24.24,0.767,0.033,0.0,0.796,0.056,0.0,0.779,0.074,0.0,0.453,0.011,0.0,0.118,0.116,0.0,0.071,0.036,0.0,0.778515687484774,0.773243072,0.8155417727014347,0.8065943040000001,0.8048230567840386,0.792999616,0.45683856249492466,0.455081024,0.15847938631011455,0.139945344,0.08356256816520796,0.077810624,22.93420899753289
2021-01-16 04:00:00,505.9,64.75138177800166,448.5527415593871,250.79999999999998,61.7,0.3263,0.3365,0.3423,0.0358,0.0865,0.0685,51.7,112.94,24.24,0.767,0.03,0.0,0.797,0.053,0.0,0.78,0.071,0.0,0.453,0.011,0.0,0.117,0.115,0.0,0.071,0.037,0.0,0.7773718265574958,0.7726755200000001,0.8153235602515758,0.8070267520000001,0.8045466561860734,0.793432064,0.4568030030710818,0.455081024,0.15675866847040038,0.13875616000000002,0.08379191942091142,0.07799980799999999,23.040014339386175
2021-01-17 05:00:00,546.0,64.88400524910409,445.60858392684935,256.59999999999997,57.99,0.3245,0.3435,0.3443,0.035,0.0793,0.0573,51.7,116.24,24.24,0.767,0.03,0.0,0.797,0.052,0.0,0.78,0.07,0.0,0.452,0.013,0.0,0.117,0.115,0.0,0.07,0.038,0.0,0.7774426805201126,0.7726755200000001,0.8151006462348618,0.8068375680000001,0.8043662545469292,0.79324288,0.4565251615587154,0.454459392,0.157030275327098,0.13875616000000002,0.08322739532547586,0.07718899200000001,7.631021482518719
2021-01-18 04:00:00,591.6,64.36856399077428,455.7354610011334,251.98999999999998,60.38,0.329,0.3515,0.3448,0.0345,0.0985,0.078,51.7,112.52,24.24,0.769,0.023,0.0,0.804,0.027,0.0,0.786,0.048,0.0,0.449,0.024,0.0,0.11,0.108,0.0,0.071,0.037,0.0,0.7767962766921548,0.773351232,0.813152150899486,0.8091079680000001,0.802270490487975,0.795080832,0.4571352452439875,0.453540416,0.14660860359794392,0.130431872,0.08354183641781411,0.07799980799999999,23.245867308572883
2021-01-18 05:00:00,560.5,64.67415811983312,449.5760984883204,252.59999999999997,59.21,0.3283,0.3498,0.3453,0.0323,0.0973,0.0753,51.7,116.02,24.24,0.769,0.023,0.0,0.804,0.027,0.0,0.786,0.048,0.0,0.449,0.024,0.0,0.11,0.108,0.0,0.071,0.037,0.0,0.776920213958342,0.773351232,0.8132976424728363,0.8091079680000001,0.8025291421739311,0.795080832,0.45726457108696555,0.453540416,0.1471905698913449,0.130431872,0.08374121375907186,0.07799980799999999,7.68557546481361
2021-01-19 04:00:00,485.2,64.16727981624956,459.50852986899076,261.44,51.99,0.3135,0.341,0.3325,0.0285,0.082,0.0585,51.7,112.3,24.24,0.768,0.005,0.0,0.802,0.043,0.0,0.784,0.061,0.0,0.442,0.05,0.0,0.107,0.105,0.0,0.071,0.013,0.0,0.769677246573128,0.7689459200000001,0.8164243205289002,0.8101349120000001,0.8044624081921609,0.795540224,0.45877246573127933,0.4514592,0.14222217803568662,0.12686432,0.07536084109013262,0.073459392,23.345759747795114
2021-01-19 05:00:00,498.8,64.45829915597554,453.6524631602432,263.02,50.1,0.3198,0.3375,0.3315,0.0323,0.0835,0.0575,51.7,115.8,24.24,0.768,0.005,0.0,0.802,0.043,0.0,0.784,0.061,0.0,0.442,0.05,0.0,0.107,0.105,0.0,0.071,0.013,0.0,0.7697027257594644,0.7689459200000001,0.816643441531394,0.8101349120000001,0.8047732542654659,0.795540224,0.45902725759464413,0.4514592,0.1427572409487526,0.12686432,0.07542708697460745,0.073459392,7.736462851790691
2021-01-20 04:00:00,499.2,63.959520659213595,463.39951220005764,263.29999999999995,56.21,0.326,0.3483,0.3435,0.0325,0.076,0.0503,51.7,112.06,24.24,0.763,0.012,0.0,0.798,0.048,0.0,0.78,0.066,0.0,0.437,0.058,0.0,0.107,0.105,0.0,0.068,0.017,0.0,0.7669821014002889,0.765270208,0.8139284056011555,0.807080832,0.8019015577015888,0.7924861440000001,0.45624682343472955,0.447972672,0.1418433872525276,0.12686432,0.07364131031707591,0.071216128,23.44353492391133
2021-01-20 05:00:00,514.1,64.23652372582092,457.8349679303687,264.02,55.28,0.3273,0.3455,0.3388,0.0308,0.0735,0.0505,51.7,115.58,24.24,0.763,0.012,0.0,0.798,0.048,0.0,0.78,0.066,0.0,0.437,0.058,0.0,0.107,0.105,0.0,0.068,0.017,0.0,0.7670398874238001,0.765270208,0.8141595496952003,0.807080832,0.8022193808309005,0.7924861440000001,0.45652612254836705,0.447972672,0.14234901495825072,0.12686432,0.07372317385038346,0.071216128,7.783616856773563
2021-01-23 04:00:00,512.3,63.29826029717434,475.75424633546,264.27,60.73,0.3213,0.343,0.3388,0.0308,0.0783,0.055,51.7,111.36,24.24,0.756,0.027,0.0,0.796,0.052,0.0,0.78,0.067,0.0,0.432,0.072,0.0,0.107,0.105,0.0,0.066,0.022,0.0,0.7646542321408886,0.761107968,0.8126674100491188,0.8058375680000001,0.8014753167940569,0.7926753280000001,0.45507795237570287,0.44562124799999997,0.1406553472145667,0.12686432,0.07305159655924255,0.070162048,23.723530496210856
